id,material,name,city,city_id,country,country_id,latitude,longitude,floors_above_ground,height,number_of_purposes,rank,is_completed,is_started
2697,steel,KPMG Tower,Los Angeles,1611,US,163,34.0521698,-118.2526169,45,184.8000031,1,321,TRUE,TRUE
2157,steel,ExxonMobil Building,Houston,1593,US,163,29.75355911,-95.36950684,44,184.7100067,1,322,TRUE,TRUE
14312,concrete,Baccarat Hotel & Residences,New York City,1641,US,163,40.76079178,-73.97741699,46,184.5099945,2,323,TRUE,TRUE
2161,concrete,One Rincon Hill South Tower,San Francisco,1683,US,163,37.78580093,-122.3920975,54,184.4100037,1,324,TRUE,TRUE
2164,steel,Chicago Board of Trade,Chicago,1539,US,163,41.87760925,-87.63237762,44,184.4100037,1,325,TRUE,TRUE
9603,steel,Space Needle,Seattle,1680,US,163,47.62049866,-122.3492966,0,184.4100037,1,326,TRUE,TRUE
2167,concrete,The Orion,New York City,1641,US,163,40.75794983,-73.99226379,60,184.1000061,1,327,TRUE,TRUE
16478,steel,George Washington Bridge,New York City,1641,US,163,40.8517189,-73.95197296,0,184,1,328,TRUE,TRUE
2177,concrete/steel,Cosmopolitan Casino Spa Tower,Las Vegas,1610,US,163,36.1099205,-115.1764908,52,183.9499969,1,329,TRUE,TRUE
2178,concrete/steel,Cosmopolitan Casino Beach Club Tower,Las Vegas,1610,US,163,36.11026001,-115.1742477,50,183.9499969,1,330,TRUE,TRUE
2181,steel,590 Madison Avenue,New York City,1641,US,163,40.76213074,-73.97299194,41,183.8000031,1,331,TRUE,TRUE
9101,steel,Gables Republic Tower,Dallas,1554,US,163,32.78329849,-96.7978363,36,183.5,1,332,TRUE,TRUE
8767,steel,250 West 55th Street,New York City,1641,US,163,40.76502991,-73.98361969,40,183.4299927,1,333,TRUE,TRUE
2186,concrete,210 Trade,Charlotte,1544,US,163,35.22930908,-80.84500122,53,183.2599945,1,334,TRUE,TRUE
8982,concrete,Epic Residences & Hotel,Miami,1632,US,163,25.77059937,-80.18930054,54,183.1999969,2,335,TRUE,TRUE
16715,concrete,One Paraiso,Miami,1632,US,163,25.8069706,-80.18563843,53,183.1999969,1,336,TRUE,TRUE
2188,steel,CNA Plaza,Chicago,1539,US,163,41.87739944,-87.62560272,44,183.1900024,1,337,TRUE,TRUE
2189,steel,U.S. Bank Center,Milwaukee,1634,US,163,43.03828049,-87.90196228,42,183.1900024,1,338,TRUE,TRUE
2185,steel,BNY Mellon Center at One Boston Place,Boston,1524,US,163,42.35855865,-71.05834961,41,183.1900024,1,339,TRUE,TRUE
2190,steel,One Prudential Plaza,Chicago,1539,US,163,41.88489151,-87.62319946,41,183.1900024,1,339,TRUE,TRUE
2192,composite,Eleven Times Square,New York City,1641,US,163,40.75677109,-73.98963165,40,183.1000061,1,341,TRUE,TRUE
2208,steel,101 California Street,San Francisco,1683,US,163,37.79286957,-122.3978729,48,183,1,342,TRUE,TRUE
2217,steel,50 Fremont Center,San Francisco,1683,US,163,37.79050827,-122.397171,43,183,1,343,TRUE,TRUE
2214,steel,1166 Avenue of the Americas,New York City,1641,US,163,40.75683975,-73.9821167,44,182.9100037,1,344,TRUE,TRUE
2194,concrete,Aria Resort & Casino,Las Vegas,1610,US,163,36.10778046,-115.1771393,60,182.8800049,2,345,TRUE,TRUE
2209,steel,One International Place,Boston,1524,US,163,42.35570908,-71.05200958,46,182.8800049,1,346,TRUE,TRUE
2222,steel,1500 Louisiana Street,Houston,1593,US,163,29.7544899,-95.37129974,40,182.8800049,1,347,TRUE,TRUE
2211,concrete,Heller International Tower,Chicago,1539,US,163,41.88090134,-87.64041901,45,182.8600006,1,348,TRUE,TRUE
17530,concrete,SLS Brickell,Miami,1632,US,163,25.76124001,-80.19367981,52,182.5800018,2,349,TRUE,TRUE
2248,steel,Madison Plaza,Chicago,1539,US,163,41.88235855,-87.63440704,44,182.4600067,1,350,TRUE,TRUE
22655,concrete,River Line Building A,Chicago,1539,US,163,41.87419891,-87.63484955,51,182.2700043,1,351,TRUE,TRUE
2231,steel,Republic Center Tower II,Dallas,1554,US,163,32.78339005,-96.79723358,50,182.2700043,1,352,TRUE,TRUE
2005,concrete,Hawthorn Park,New York City,1641,US,163,40.77196121,-73.98609161,54,182.25,1,353,TRUE,TRUE
2232,steel,Russell Investments Center,Seattle,1680,US,163,47.60779953,-122.3381119,42,182.1799927,2,354,TRUE,TRUE
2237,concrete,Planet Hollywood Towers,Las Vegas,1610,US,163,36.10897827,-115.1687164,50,182,2,355,TRUE,TRUE
2245,steel,Hearst Tower,New York City,1641,US,163,40.76654053,-73.98375702,46,181.9700012,1,356,TRUE,TRUE
9815,concrete,Avalon Willoughby West,New York City,1641,US,163,40.69194031,-73.98497009,57,181.6600037,1,357,TRUE,TRUE
17034,concrete,SLS Lux Brickell,Miami,1632,US,163,25.76615906,-80.19291687,57,181.3999939,1,358,TRUE,TRUE
